================================================================================
Core math baseline — 2026-05-10
================================================================================

Reference run for the core-math-optimization plan (docs/plans/core-math-
optimization.md). Every phase-1+ change measures against these numbers.

Hardware / toolchain:
  - Apple Silicon (arm64), 12-core
  - macOS 26.3.1, Darwin 25.3.0
  - Apple clang 16.0.0 (clang-1600.0.26.6)
  - Build: cmake --preset benchmark (release flags: -O3 -funroll-loops
    -mtune=native), Google Benchmark 1.8.3
  - Source commit: a064505e91b374a355bf714eda5f696e7d266c48 (branch master)
  - --benchmark_min_time=0.1s; spatial-index benchmarks excluded with
    --benchmark_filter='-bm_intersect<|-bm_shadow|-bm_build<' (they are
    container-level benchmarks; out of scope for this baseline)

Re-baseline trigger: anything in Phase 1 (per docs/plans/core-math-
optimization.md) plus a compiler bump in CI.

Reading notes:
  - Time / CPU columns are nanoseconds per call.
  - Iterations is the count Google Benchmark settled on for ~0.1s runtime;
    higher iterations means a faster per-call cost.
  - Items/sec where present is from state.SetItemsProcessed (batched ops).
  - Single-op microbenchmarks wrap every input in DoNotOptimize() so
    the compiler can't constant-fold; an earlier draft of the run showed
    ~0.3 ns for every microbenchmark because of constant folding —
    that's the failure mode to look out for if a future change makes
    a benchmark look implausibly fast.

Observations worth flagging at baseline:
  - random_threaded shows real-time scaling linearly with thread count
    (6.5/3.2/1.7/1.0) but CPU-time-per-call flat (6.4/6.4/6.9/7.8) — so
    on this Darwin libc, std::rand isn't lock-contended. Glibc would
    contend hard; the PRNG replacement still matters for portability +
    statistical quality.
  - bm_quartic_sorted_result is ~2.5x slower than bm_quartic_solve_into
    (160 ns vs 72 ns) — the per-call std::vector allocation in
    sortedResult() is the largest single chunk of Phase 1 opportunity.
  - bm_inverted4 is ~25 ns / ~27 ns at float / double — that's the
    cofactor-expansion baseline; block-inverse target is <10 ns.
  - bm_matmul<Matrix4> is ~5.5 ns regardless of float vs double; the
    SIMD target is <2 ns for float, <3 ns for double.

--------------------------------------------------------------------------------

Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-05-10T14:37:57-04:00
Running ./build/benchmark/benchmarks/benchmarks
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.04, 6.61, 6.43
----------------------------------------------------------------------------------------------------
Benchmark                                          Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------
bm_intersects<float>                             769 ns          768 ns       180844 items_per_second=333.137M/s
bm_intersects<double>                            770 ns          769 ns       184225 items_per_second=332.724M/s
bm_contains_point<float>                         258 ns          258 ns       545002 items_per_second=994.047M/s
bm_contains_point<double>                        257 ns          257 ns       534637 items_per_second=995.926M/s
bm_union<float>                                 3.45 ns         3.44 ns     41394400
bm_union<double>                                3.46 ns         3.46 ns     39177277
bm_intersection<float>                          1.02 ns         1.02 ns    137281820
bm_intersection<double>                         1.78 ns         1.78 ns     78837707
bm_volume<float>                               0.419 ns        0.418 ns    333222259
bm_volume<double>                              0.419 ns        0.418 ns    337626007
bm_include_point<float>                          430 ns          429 ns       327011 items_per_second=596.174M/s
bm_include_point<double>                         431 ns          431 ns       326257 items_per_second=594.533M/s
bm_push_n<1>                                    24.2 ns         24.1 ns      5684356
bm_push_n<2>                                    58.4 ns         58.3 ns      2440938
bm_push_n<4>                                    85.8 ns         85.6 ns      1640766
bm_push_n<8>                                     135 ns          135 ns      1043764
bm_push_n<16>                                    201 ns          196 ns       715161
bm_single_hit_cycle                             67.6 ns         67.4 ns      2006421
bm_merge_union                                  60.0 ns         59.3 ns      2365065
bm_merge_intersect                              58.3 ns         58.2 ns      2413003
bm_iterate                                      2.86 ns         2.85 ns     49749476
bm_matmul<float, 4, Matrix4f>                   5.52 ns         5.50 ns     24913249
bm_matmul<double, 4, Matrix4d>                  5.58 ns         5.57 ns     25570309
bm_matmul<float, 3, Matrix3f>                   2.46 ns         2.45 ns     53877237
bm_matmul<double, 3, Matrix3d>                  2.41 ns         2.39 ns     58920079
bm_mat_vec<float, 4, Matrix4f, Vector4f>        1.56 ns         1.55 ns     91677035
bm_mat_vec<double, 4, Matrix4d, Vector4d>       1.55 ns         1.55 ns     91027308
bm_mat_vec<float, 3, Matrix3f, Vector3f>       0.964 ns        0.963 ns    144332873
bm_mat_vec<double, 3, Matrix3d, Vector3d>      0.966 ns        0.964 ns    145549814
bm_inverted4<float>                             25.1 ns         25.1 ns      5465121
bm_inverted4<double>                            27.2 ns         27.1 ns      5087579
bm_determinant4<float>                          5.92 ns         5.91 ns     23718361
bm_determinant4<double>                         5.86 ns         5.85 ns     23831004
bm_transposed<float, 4, Matrix4f>               4.16 ns         4.15 ns     33779708
bm_transposed<double, 4, Matrix4d>              4.42 ns         4.42 ns     31168600
bm_build_transform3<float>                      12.4 ns         12.4 ns     11140288
